normalization	East-West	Dialect	id	year
#Murreviikko päättyi viime viikolla, mutta tässä muutamia fundeerauksia sieltä.  - vallan lystelinen viikko! Ihmiset praakaavat vallan sukkelilla sanoilla ja tavoilla. Hyvä @@ ja muu!	W	SW	1.31560641025688E+018	2020
Päätetään #murreviikko kuvaan, mistä näkee mitä tapahtuu aina, kun mulla on paha mieli ja menen köllöttelemään sänkyyn. [url]	W	TA	1.31530400270005E+018	2020
@@ Siinä katso kyykkypuolue hoitaa kuvittelemiasi fiskaalisia velvoitteita ja vastuita korjaamalla vinoa ikärakennetta taloudellisesti kestävämpään suuntaan. #murreviikko	W	SW	1.31523804563796E+018	2020
@@ @@ No se ei ole noloa että joku terassi on sulki mutta se on noloa että on niin hönö että_ei edes hoksaa kuinka höntti on. John Cleese sanoi asiasta olennaisen tässä: [url] #murreviikko	W	SW	1.31523744092007E+018	2020
@@ @@ Niillä on sama maski (naamari) päällä vuoden ympäri. #murreviikko	W	SW	1.31523605829711E+018	2020
@@ Ei ole mutta kepulaisia on liikaa jos nyt haitallisista ja vaarallisista olioista puhutaan. #murreviikko	W	SW	1.31522259217381E+018	2020
Eilen Aino-corgin kanssa Tuusniemellä. Vedettiin variksia pitkin metsää ja peltoa ja Aino sai jäljestää. Hyvin löytyi saaliit. Mukana oli ohjaaja ja yhteensä 9 corgia omistajineen. Oli kiva päivä, vaikka kuva ei kaikkien mielestä kiva olisikaan. #murreviikko päättyy tähän raporttiin. [url]	E	SA	1.31515183345589E+018	2020
@@ Minä tykkään kaataa puita, pilkkoa niistä klapeja ja polttaa puuhellassa. Oksat minä haketan marjapuskien juurelle tai kompostiin kuivikkeeksi. Onko jollain jotain tätä vastaan? #murreviikko	W	SW	1.31503427244155E+018	2020
Olen ottanut käynnissä olleen murreviikon hämäläisellä otteella:  - Ei nyt tehdä tästä mitään numeroa.  #murreviikko	W	TA	1.31501166600271E+018	2020
Olenko minä nähnyt The Darknessin Tavastialla?[emoji] #elämänibiisi #murreviikko	W	NA	1.31499712921617E+018	2020
Viimeinen viikko on ollut makea, #murreviikko on minun mieleen. Lisäksi olo on kuin ikäihmisellä, katso kun viikon aikana on tullut tehtyä lihakukkoa, kiisseliä, raahattua vanha kiikku kammariin (aina varattu [emoji]) ja aloitettua neulonnat. #syksy #pimeätillat [url]	E	SE	1.31499660305756E+018	2020
Tänään me lähdettiin naisen kanssa metsästämään geokätköä. Löydettiinkin se sieltä. Tämä oli meidän eka kätkö ikinä, jos tästä vaikka tulisi meidän uusi harrastus. Olisi hauska, aina lähteä jonnekin uuteen mestaan etsimään uusia kätköjä. #murreviikko	NA	NA	1.31499339380683E+018	2020
Älkää hyvät ihmiset tapelko. Maalittaminen on pahasta eikä ketään ole syytä blokata. Ottakaahan aperitiivia älkääkä hioko sitä narratiivia noin teräväksi. #somefi #twitterfi #niinpä #gate #blokki #cancel #maalittaminen #retoriikka #yhdyssana #gif #narratiivi #murreviikko	E	SA	1.31495218747526E+018	2020
